metric,family,method,n,mean,sd,min,max
adapt,frc,lorawd,121,68.24,18.544,6.01,82.41
adapt,frc,lorawdr16,10,61.392,27.098,13.53,81.39
adapt,frc,milora,51,63.486,19.358,0.0,80.19
adapt,frc,clora,21,75.592,6.141,59.72,80.14
adapt,frc,dora,3,78.787,0.225,78.54,78.98
adapt,frc,sclora,24,66.914,15.224,36.48,80.46
adapt,frc,pissa,4,69.432,0.499,68.87,70.05
adapt,frm,lora,3,59.593,1.533,57.85,60.73
adapt,frm,lora_null,4,62.338,1.065,61.18,63.76
adapt,frm,lorawd,105,61.21,13.219,0.0,69.52
adapt,frm,milora,12,55.547,10.38,34.65,64.44
adapt,frm,clora,10,59.948,0.877,58.45,60.96
adapt,frm,dora,3,59.187,0.502,58.76,59.74
adapt,frm,sclora,6,58.237,2.487,55.72,61.03
adapt,frm,pissa,1,49.66,,49.66,49.66
adapt,lrsw,corda [WITHHELD],23,57.465,24.501,0.0,78.38
adapt,qwsw,corda [WITHHELD],5,83.764,1.861,81.42,85.55
adapt,frc,cordapp [WITHHELD],8,55.631,26.394,1.44,78.5
adapt,frm,cordapp [WITHHELD],3,59.037,0.614,58.61,59.74
