run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,fdelta,log10_fdelta,fro_total,log10_fro_total,spec_max,log10_spec_max,spec_mean,dw_sv_max,log10_dw_sv_max,dw_sv_mean,retention_mean
frc_cordapp_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0003,42.0,frc_cordapp_lr3e4_c256,True,False,False,0.7653,-0.1161682866705475,61202.59802237317,4.78676985813955,23100.091796875,4.363613705727515,953.8693405151369,721.8481,2.858445817691043,29.7806,22.44
frc_cordapp_lr5e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0005,42.0,frc_cordapp_lr5e4_c256,True,True,False,10.5845,1.0246703472520045,992186.0203626312,5.996593103649432,641558.3125,5.807236136386755,8775.514497184753,20049.207,4.302097199782389,274.2,16.27
frc_cordapp_lr7e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0007,42.0,frc_cordapp_lr7e4_c256,True,True,False,31.046,1.4920056531492256,4091749.1411650474,6.6119089999307965,3147126.5,6.497914199903311,37018.20167789459,98342.5391,4.992741417121556,1156.7469,15.98
frc_dora_r32_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,42.0,frc_dora_r32_lr3e4_c256,False,False,True,0.8973,-0.0470623322490194,620.9659489013825,2.793067785990291,116.68265533447266,2.067006303754352,18.946882620453835,116.6841,2.067011680786448,18.9455,20.9
frc_dora_r32_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,43.0,frc_dora_r32_lr3e4_c256,False,False,True,0.936,-0.0287241512618947,615.2638584601505,2.7890614047153317,107.61677551269533,2.03187997527763,19.02650884091854,107.6163,2.031878056311049,19.0248,22.78
frc_dora_r32_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,44.0,frc_dora_r32_lr3e4_c256,False,False,True,0.9182,-0.037062711569998,626.4343795696302,2.796875584375015,144.93174743652344,2.1611635285096704,19.01996319293976,144.9327,2.1611663828994736,19.0177,21.15
frc_lora_l2_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_l2_lr3e4_c256,False,False,True,0.7172,-0.1443597191098548,593.2208977148202,2.773216441753463,62.0201416015625,1.79253275346382,17.631546273827553,62.0217,1.7925436659725882,17.6298,21.7
frc_lora_l2_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_l2_lr3e4_c256,False,False,True,0.7153,-0.1455117749555695,591.8852068873632,2.772237485693305,56.41366958618164,1.7513843505531848,17.525307402014732,56.4143,1.7513892036980856,17.5242,22.57
frc_lora_l2_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,44.0,frc_lora_l2_lr3e4_c256,False,False,True,0.7235,-0.1405614645449437,592.134835722105,2.772420611693131,60.43481063842773,1.7812871656628104,17.658919075131415,60.4361,1.7812964311281416,17.6572,23.0
frc_lora_l2_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_l2_lr3e4_c256,False,False,True,0.7332,-0.1347775437098209,592.360680717195,2.7725862235252747,60.303932189941406,1.7803456317539972,17.70793499946594,60.3047,1.7803511613030112,17.7053,23.38
