run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,retention_mean,retention_broad,adapt,bbh,mmlu_pro,mmlu,arc_c,truthfulqa,fdelta,log10_fdelta
frc_lora_null_lr1e3_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.001,44.0,frc_lora_null_lr1e3_c256,False,True,True,1.08,19.35,37.25,2.15,0.0,23.93,23.55,47.1,6.565,0.8172347304254982
frc_lora_null_lr1e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,42.0,frc_lora_null_lr1e4_c256,False,False,True,24.08,33.25,51.06,32.7,15.45,44.56,41.64,31.91,0.3105,-0.507938395487401
frc_lora_null_lr1e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,43.0,frc_lora_null_lr1e4_c256,False,False,True,24.39,33.99,74.89,32.99,15.79,46.09,40.1,34.97,0.3151,-0.5015515968260004
frc_lora_null_lr1e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,44.0,frc_lora_null_lr1e4_c256,False,False,True,25.71,34.53,69.3,34.02,17.4,44.89,41.38,34.97,0.31,-0.5086383061657274
frc_lora_null_lr1e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,45.0,frc_lora_null_lr1e4_c256,False,False,True,25.76,34.12,77.15,34.45,17.07,45.51,38.4,35.18,0.3141,-0.5029320636014952
frc_lora_null_lr2e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,42.0,frc_lora_null_lr2e4_c256,False,False,True,23.33,30.96,80.12,32.51,14.15,39.69,37.12,31.32,0.534,-0.2724587429714435
frc_lora_null_lr2e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,43.0,frc_lora_null_lr2e4_c256,False,False,True,23.29,31.55,79.75,31.95,14.63,41.44,37.37,32.36,0.5343,-0.272214825817094
frc_lora_null_lr2e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,44.0,frc_lora_null_lr2e4_c256,False,False,True,23.34,31.36,80.23,31.5,15.17,36.95,38.65,34.55,0.5367,-0.2702684047129646
frc_lora_null_lr2e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,45.0,frc_lora_null_lr2e4_c256,False,False,True,22.9,31.19,80.56,32.93,12.88,40.02,38.14,31.96,0.539,-0.2684112348132613
frc_lora_null_lr2e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,46.0,frc_lora_null_lr2e4_c256,False,False,True,22.78,30.75,78.57,31.64,13.93,39.0,37.8,31.4,0.535,-0.2716462179787715
