run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,straggler,on_pool,cs_avg,gsm8k,adapt_task,bbh,mmlu_pro,mmlu,arc_c,truthfulqa,retention_mean,retention_broad,fdelta,dw_sv_max,dw_sv_mean,adapt,fro_total,spec_max,spec_mean,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,forgetting_ce,base_entropy,forgetting_kl,log10_fdelta,log10_spec_max,log10_fro_total,log10_dw_sv_max,log10_dw_sv_mean
frc_lora_l2_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_l2_lr3e4_c256,False,False,False,True,78.38,,cs,29.52,13.89,36.03,36.18,34.33,21.7,29.99,0.7172,62.0217,17.6298,78.38,593.2208977148202,62.0201416015625,17.631546273827553,7.500934054462585,21.49889859651197,0.06953333107938814,0.04618066973392886,0.06558722449350325,2.4559773847956423,1.8520239240816387,0.6039534607140036,-0.1443597191098548,1.79253275346382,2.773216441753463,1.7925436659725882,1.2462473855047072
frc_lora_l2_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_l2_lr3e4_c256,False,False,False,True,77.63,,cs,30.56,14.58,37.29,36.26,33.84,22.57,30.51,0.7153,56.4143,17.5242,77.63,591.8852068873632,56.41366958618164,17.525307402014732,7.5469177684643265,21.56993788123892,0.06866579057250786,0.04624618936668913,0.06553595432775283,2.4468293970340933,1.8100692116929957,0.6367601853410976,-0.14551177495556958,1.7513843505531848,2.772237485693305,1.7513892036980856,1.243638201045782
frc_lora_l2_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,44.0,frc_lora_l2_lr3e4_c256,False,False,False,True,78.42,,cs,31.45,14.55,40.34,36.35,33.19,23.0,31.18,0.7235,60.4361,17.6572,78.42,592.134835722105,60.434810638427734,17.658919075131415,7.453350380248687,21.438122011719887,0.06974019419271862,0.04631038620114742,0.06604691482293329,2.423823566829465,1.8100692116929957,0.6137543551364695,-0.1405614645449437,1.7812871656628104,2.772420611693131,1.7812964311281416,1.246921836220026
frc_lora_l2_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_l2_lr3e4_c256,False,False,False,True,78.87,,cs,31.29,15.48,35.96,35.41,34.36,23.38,30.5,0.7332,60.3047,17.7053,78.87,592.360680717195,60.303932189941406,17.70793499946594,7.391720298746203,21.433406228712844,0.06888550509900215,0.04629128871902566,0.06550499701433109,2.416584319112975,1.8100692116929957,0.6065151074199793,-0.13477754370982095,1.7803456317539972,2.7725862235252747,1.7803511613030112,1.2481032898764375
frc_lora_null_lr1e3_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.001,42.0,frc_lora_null_lr1e3_c256,False,True,False,True,38.1,,cs,4.91,0.06,23.02,23.29,47.27,2.48,19.71,7.6799,365.5778,78.7292,38.1,3169.1570464991473,365.570556640625,78.7350642979145,12.254565233539731,25.876787028118414,0.10025618170507009,0.04761405698681482,0.10930678987730805,10.711468119036729,1.8520239240816387,8.85944419495509,0.8853555651186297,2.562971210028334,3.500943761038843,2.562979814987857,1.8961358384183853
frc_lora_null_lr1e3_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.001,43.0,frc_lora_null_lr1e3_c256,False,True,False,True,39.67,,cs,2.75,0.0,23.05,21.33,47.73,1.38,18.97,8.021,430.3956,82.1931,39.67,3307.151671653331,430.46270751953125,82.19773961901664,12.100091194392098,25.6512110914999,0.0998872851256175,0.04743648628651957,0.10984965017798015,9.211153445183633,1.8100692116929957,7.4010842334906375,0.9042285163400785,2.633935532978946,3.519454112860972,2.6338678228221615,1.9148353606336852
frc_lora_null_lr1e3_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.001,44.0,frc_lora_null_lr1e3_c256,False,True,False,True,37.25,,cs,2.15,0.0,23.93,23.55,47.1,1.08,19.35,6.565,358.459,72.0998,37.25,2928.266669341626,358.45098876953125,72.10327830910683,12.582092698119,26.350994101515347,0.09720487081680966,0.04779335003153909,0.10439209925362518,5.80027620845118,1.8100692116929957,3.990206996758184,0.8172347304254982,2.554429782703807,3.4666106242135437,2.554439488896329,1.8579340600173924
frc_lora_null_lr1e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,42.0,frc_lora_null_lr1e4_c256,False,False,False,True,51.06,,cs,32.7,15.45,44.56,41.64,31.91,24.08,33.25,0.3105,13.5754,5.9409,51.06,218.10898896691563,13.578371047973633,5.94238872230053,8.680966754140785,30.502969359632218,0.12120869823221,0.040761395286099227,0.10908858264009524,2.124705683811734,1.8520239240816387,0.27268175973009523,-0.507938395487401,1.1328476722044576,2.338673564607967,1.1327526349631634,0.7738522421909101
frc_lora_null_lr1e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,43.0,frc_lora_null_lr1e4_c256,False,False,False,True,74.89,,cs,32.99,15.79,46.09,40.1,34.97,24.39,33.99,0.3151,13.7126,5.9282,74.89,217.9553545812934,13.717183113098145,5.929455570876598,8.734209478528015,30.53514835433689,0.12119586995437961,0.04069295923312427,0.1090877879866911,2.077451387400753,1.8100692116929957,0.26738217570775746,-0.5015515968260004,1.1372649361491456,2.338367542940962,1.1371198077142048,0.7729228470345617
frc_lora_null_lr1e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,44.0,frc_lora_null_lr1e4_c256,False,False,False,True,69.3,,cs,34.02,17.4,44.89,41.38,34.97,25.71,34.53,0.31,13.475,5.9243,69.3,218.3103437291595,13.476339340209961,5.925748305022717,8.723741945826852,30.509191592560683,0.12102286429869448,0.04066594255386646,0.1089853913555696,2.0793003906824934,1.8100692116929957,0.26923117898949767,-0.5086383061657274,1.1295719381747098,2.339074313437366,1.1295287738587763,0.7726370425982739
frc_lora_null_lr1e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,45.0,frc_lora_null_lr1e4_c256,False,False,False,True,77.15,,cs,34.45,17.07,45.51,38.4,35.18,25.76,34.12,0.3141,13.8215,5.8925,77.15,218.10757715432638,13.823171615600586,5.893907633423805,8.766375726122085,30.578346676060562,0.12119953700851242,0.04074857938961432,0.10901398909704967,2.088098316732558,1.8100692116929957,0.27802910503956224,-0.5029320636014952,1.1406076998488561,2.3386707534244193,1.14055517808682,0.7702995911963614
frc_lora_null_lr2e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,42.0,frc_lora_null_lr2e4_c256,False,False,False,True,80.12,,cs,32.51,14.15,39.69,37.12,31.32,23.33,30.96,0.534,27.3841,10.6335,80.12,439.745320907304,27.38395118713379,10.634160193800927,10.931041629395443,30.402012479535237,0.10165741024956455,0.04202630730525887,0.09513583301960502,2.398510818139287,1.8520239240816387,0.5464868940576482,-0.27245874297144357,1.437496111985162,2.6432012270608247,1.43749847206938,1.0266762354077126
