run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,forgetting_ce,base_entropy,forgetting_kl,log10_fdelta,retention_mean
frc_lora_null_lr1e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,44.0,frc_lora_null_lr1e4_c256,False,False,True,2.0793003906824934,1.810069211692996,0.2692311789894976,-0.5086383061657274,25.71
frc_lora_null_lr1e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,45.0,frc_lora_null_lr1e4_c256,False,False,True,2.088098316732558,1.810069211692996,0.2780291050395622,-0.5029320636014952,25.76
frc_lora_null_lr2e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,42.0,frc_lora_null_lr2e4_c256,False,False,True,2.398510818139287,1.8520239240816387,0.5464868940576482,-0.2724587429714435,23.33
frc_lora_null_lr2e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,43.0,frc_lora_null_lr2e4_c256,False,False,True,2.3434972588692133,1.810069211692996,0.5334280471762176,-0.272214825817094,23.29
frc_lora_null_lr2e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,44.0,frc_lora_null_lr2e4_c256,False,False,True,2.3803951934978165,1.810069211692996,0.5703259818048207,-0.2702684047129646,23.34
frc_lora_null_lr2e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,45.0,frc_lora_null_lr2e4_c256,False,False,True,2.3836648286749424,1.8520239240816387,0.5316409045933037,-0.2684112348132613,22.9
frc_lora_null_lr2e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,46.0,frc_lora_null_lr2e4_c256,False,False,True,2.3752112366713884,1.810069211692996,0.5651420249783927,-0.2716462179787715,22.78
frc_lora_null_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,2e-05,42.0,frc_lora_null_lr2e5_c256,False,False,True,1.9384578438278937,1.8520239240816387,0.0864339197462549,-0.7969671129852894,26.52
frc_lora_null_lr2e5_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,2e-05,43.0,frc_lora_null_lr2e5_c256,False,False,True,1.895269618028632,1.810069211692996,0.0852004063356361,-0.801068130067791,26.0
frc_lora_null_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,42.0,frc_lora_null_lr3e4_c256,False,False,True,2.615585326108065,1.8520239240816387,0.7635614020264261,-0.1117643267294328,18.66
frc_lora_null_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,43.0,frc_lora_null_lr3e4_c256,False,False,True,2.581426295532599,1.810069211692996,0.7713570838396031,-0.1186153432294271,20.74
frc_lora_null_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,44.0,frc_lora_null_lr3e4_c256,False,False,True,2.6230459969421487,1.810069211692996,0.812976785249153,-0.1073489661226996,18.32
frc_lora_null_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,45.0,frc_lora_null_lr3e4_c256,False,False,True,2.5826145832020866,1.810069211692996,0.7725453715090909,-0.1125514997500462,18.09
frc_lora_null_lr5e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,42.0,frc_lora_null_lr5e4_c256,False,False,True,2.964560673775605,1.8520239240816387,1.1125367496939664,0.0811672147134724,16.43
frc_lora_null_lr5e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,43.0,frc_lora_null_lr5e4_c256,False,False,True,3.0079479839006567,1.810069211692996,1.197878772207661,0.0728745968109887,17.47
frc_lora_null_lr5e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,44.0,frc_lora_null_lr5e4_c256,False,False,True,2.9638696666537383,1.810069211692996,1.1538004549607426,0.093421685162235,16.81
frc_lora_null_lr5e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,45.0,frc_lora_null_lr5e4_c256,False,False,True,3.013503932105336,1.810069211692996,1.20343472041234,0.090751689644903,17.32
frc_lora_null_lr5e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,46.0,frc_lora_null_lr5e4_c256,False,False,True,2.9855689914310437,1.810069211692996,1.1754997797380475,0.0727276895852654,16.39
frc_lora_null_lr7e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0007,42.0,frc_lora_null_lr7e4_c256,False,False,True,3.370616961276014,1.8520239240816387,1.5185930371943752,0.2111472498144923,14.34
frc_lora_null_lr7e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0007,43.0,frc_lora_null_lr7e4_c256,False,False,True,3.343153943720239,1.810069211692996,1.5330847320272432,0.2028968085295292,15.64
frc_lora_null_lr7e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0007,44.0,frc_lora_null_lr7e4_c256,False,False,True,3.3235371754770884,1.810069211692996,1.5134679637840929,0.209702632120352,13.54
frc_lora_r16_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_r16_lr3e4_c256,False,False,True,2.2622745343109734,1.8520239240816387,0.4102506102293346,-0.2196106715290472,23.0
frc_lora_r16_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_r16_lr3e4_c256,False,False,True,2.2244252256769745,1.810069211692996,0.4143560139839788,-0.2204756566752101,24.36
frc_lora_r16_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_r16_lr3e4_c256,False,False,True,2.2103546718486373,1.810069211692996,0.4002854601556416,-0.2196106715290472,23.32
frc_lora_r32_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_r32_lr3e4_c256,False,False,True,2.4503866519613258,1.8520239240816387,0.598362727879687,-0.1311792938024826,22.19
frc_lora_r32_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_r32_lr3e4_c256,False,False,True,2.4430484950544185,1.810069211692996,0.6329792833614227,-0.1198154471735665,22.34
frc_lora_r32_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,44.0,frc_lora_r32_lr3e4_c256,False,False,True,2.432814214191541,1.810069211692996,0.6227450024985453,-0.1393625832262453,21.6
frc_lora_r32_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_r32_lr3e4_c256,False,False,True,2.420789230733542,1.810069211692996,0.6107200190405464,-0.126505017743831,21.86
frc_lora_r32_lr3e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,46.0,frc_lora_r32_lr3e4_c256,False,False,True,2.4444308105325567,1.810069211692996,0.634361598839561,-0.1179880383733413,22.66
frc_lora_r8_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_r8_lr3e4_c256,False,False,True,2.1173458292370717,1.8520239240816387,0.2653219051554325,-0.2858379539011467,23.96
frc_lora_r8_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_r8_lr3e4_c256,False,False,True,2.083911906542193,1.810069211692996,0.2738426948491972,-0.2951633937885962,24.95
frc_lora_r8_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,44.0,frc_lora_r8_lr3e4_c256,False,False,True,2.116840586939231,1.8520239240816387,0.2648166628575921,-0.2802545074704233,24.83
frc_lora_r8_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_r8_lr3e4_c256,False,False,True,2.089740534063535,1.810069211692996,0.2796713223705394,-0.2869296741443606,25.04
frc_lorawd_wd0_lr1e3_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.001,42.0,frc_lorawd_wd0_lr1e3_c256,False,False,True,7.323944145304555,1.8520239240816387,5.471920221222916,0.8475726591421122,3.32
frc_lorawd_wd0_lr1e3_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.001,43.0,frc_lorawd_wd0_lr1e3_c256,False,False,True,5.62739577557749,1.810069211692996,3.817326563884494,0.7324580949807639,3.12
frc_lorawd_wd0_lr1e3_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.001,44.0,frc_lorawd_wd0_lr1e3_c256,False,False,True,4.979618203742325,1.810069211692996,3.1695489920493287,0.7127254440594999,6.1
frc_lorawd_wd0_lr1e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0001,42.0,frc_lorawd_wd0_lr1e4_c256,False,False,True,2.0360680948623298,1.8520239240816387,0.184044170780691,-0.5225893120927484,26.52
frc_lorawd_wd0_lr1e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0001,43.0,frc_lorawd_wd0_lr1e4_c256,False,False,True,1.9844879988502595,1.810069211692996,0.1744187871572637,-0.5243288116755703,26.2
frc_lorawd_wd0_lr1e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0001,44.0,frc_lorawd_wd0_lr1e4_c256,False,False,True,1.9846121883640488,1.810069211692996,0.1745429766710531,-0.5243288116755703,26.9
