source_file,base_model,adapter_type,lr,rank,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-5,,100,100,0.002,9,8.6,4,3.6,google_gemma-3-12b-it_uiortholora_tr100_uiortholora_s256_v64_lr1e-5
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-3,,100,500,0.0482,163,157.9,80,72.00000000000001,google_gemma-3-12b-it_uiortholora_tr100_uiortholora_s256_v64_lr1e-3
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-3,,500,500,0.232,1407,1380.4,121,108.90000000000003,google_gemma-3-12b-it_uiortholora_tr500_uiortholora_s256_v64_lr1e-3
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-4,,500,500,0.026600000000000002,32,30.599999999999998,52,46.8,google_gemma-3-12b-it_uiortholora_tr500_uiortholora_s256_v64_lr1e-4
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-5,,500,500,0.0032,5,4.7,7,6.300000000000001,google_gemma-3-12b-it_uiortholora_tr500_uiortholora_s256_v64_lr1e-5
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-3,,1000,1000,0.2537,4904,4852.6,102,91.80000000000005,google_gemma-3-12b-it_uiortholora_tr1000_uiortholora_s256_v64_lr1e-3
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-4,,1000,1000,0.044,96,93.20000000000002,79,71.10000000000005,google_gemma-3-12b-it_uiortholora_tr1000_uiortholora_s256_v64_lr1e-4
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-5,,1000,1000,0.0064,5,4.7,12,10.8,google_gemma-3-12b-it_uiortholora_tr1000_uiortholora_s256_v64_lr1e-5
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-3,,2000,2000,0.17110000000000003,20790,20578.9,46,41.39999999999999,google_gemma-3-12b-it_uiortholora_tr2000_uiortholora_s256_v64_lr1e-3
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-4,,2000,2000,0.10275,417,408.80000000000007,116,104.40000000000005,google_gemma-3-12b-it_uiortholora_tr2000_uiortholora_s256_v64_lr1e-4
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-5,,2000,2000,0.013699999999999999,12,11.200000000000001,16,14.4,google_gemma-3-12b-it_uiortholora_tr2000_uiortholora_s256_v64_lr1e-5
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-3,,3000,3000,0.06463333333333333,36707,36499.7,8,7.2,google_gemma-3-12b-it_uiortholora_tr3000_uiortholora_s256_v64_lr1e-3
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-4,,3000,3000,0.14243333333333333,670,656.7,125,112.50000000000006,google_gemma-3-12b-it_uiortholora_tr3000_uiortholora_s256_v64_lr1e-4
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-5,,3000,3000,0.014600000000000002,16,15.299999999999999,35,31.499999999999996,google_gemma-3-12b-it_uiortholora_tr3000_uiortholora_s256_v64_lr1e-5
