model,method,lr,run,intruder_frac,intruder_energy,arm,fdelta,task,retention
Qwen2.5-7B,LoRA-Null,2e-4,tia1_qwsw_loranull_r16_lr2e4_s43,0.615,0.4384222100621888,B,0.2062,32.88,41.28
Qwen2.5-7B,LoRA-Null,2e-4,tia1_qwsw_loranull_r16_lr2e4_s43,0.615,0.4384222100621888,C,0.1398,87.19,48.8
Qwen2.5-7B,LoRA-Null,2e-4,tia1_qwsw_loranull_r16_lr2e4_s43,0.615,0.4384222100621888,D,0.2922,3.5,29.88
Qwen2.5-7B,LoRA-Null,2e-4,tia1_qwsw_loranull_r16_lr2e4_s43,0.615,0.4384222100621888,E,0.1421,85.31,48.57
Qwen2.5-7B,LoRA-Null,2e-4,tia1_qwsw_loranull_r16_lr2e4_s43,0.615,0.4384222100621888,Ep,0.1421,85.25,47.96
Qwen2.5-7B,LoRA-Null,2e-4,tia1_qwsw_loranull_r16_lr2e4_s43,0.615,0.4384222100621888,F,0.2606,0.0,0.0
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,0.002142857142857143,0.014692585163616708,A,0.1153,86.5,47.72
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,0.002142857142857143,0.014692585163616708,B,0.1154,86.75,48.78
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,0.002142857142857143,0.014692585163616708,C,0.1161,86.56,47.5
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,0.002142857142857143,0.014692585163616708,D,0.1146,86.81,47.55
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,0.002142857142857143,0.014692585163616708,E,0.1153,86.5,47.6
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,0.002142857142857143,0.014692585163616708,Ep,0.0977,87.19,48.34
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,0.002142857142857143,0.014692585163616708,F,0.1155,86.81,48.14
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,A,1.5011,65.69,17.6
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,B,1.1047,0.0,0.0
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,C,1.0609,70.06,20.11
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,D,1.5863,0.0,0.0
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,E,,,
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,Ep,,,
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,F,,,
Qwen2.5-7B,CLoRA (Llama-matched LR),3e-4,tia1_qwsw_clora_k1024_lr3e4_s43,0.4757142857142857,0.3751937142440251,A,0.2881,85.0,39.86
Qwen2.5-7B,CLoRA (Llama-matched LR),3e-4,tia1_qwsw_clora_k1024_lr3e4_s43,0.4757142857142857,0.3751937142440251,B,0.2457,82.56,44.74
Qwen2.5-7B,CLoRA (Llama-matched LR),3e-4,tia1_qwsw_clora_k1024_lr3e4_s43,0.4757142857142857,0.3751937142440251,C,0.2101,87.38,46.55
Qwen2.5-7B,CLoRA (Llama-matched LR),3e-4,tia1_qwsw_clora_k1024_lr3e4_s43,0.4757142857142857,0.3751937142440251,D,0.3365,78.19,36.03
Qwen2.5-7B,CLoRA (Llama-matched LR),3e-4,tia1_qwsw_clora_k1024_lr3e4_s43,0.4757142857142857,0.3751937142440251,E,0.2055,86.38,46.43
Qwen2.5-7B,CLoRA (Llama-matched LR),3e-4,tia1_qwsw_clora_k1024_lr3e4_s43,0.4757142857142857,0.3751937142440251,Ep,0.2002,85.56,46.46
Qwen2.5-7B,CLoRA (Llama-matched LR),3e-4,tia1_qwsw_clora_k1024_lr3e4_s43,0.4757142857142857,0.3751937142440251,F,0.3576,37.06,31.44
