rn,fam,seed,cell,method,fd,logfd,ret,ret_broad,adapt,adapt_task,bbh,mmlu_pro,mmlu,arc_c,truthfulqa,dw_sv_max,dw_sv_mean,lr,wd,clora_k,rank,quarantined,straggler,in_family,cs_boolq,cs_piqa,cs_social_i_qa,cs_hellaswag,cs_winogrande,cs_ARC_Easy,cs_ARC_Challenge,cs_openbookqa,forgetting_ce,base_entropy,forgetting_kl,fro_total,spec_max,spec_mean,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,ein_top_w,ein_bot_w,amp_top_w
fft_full_lr3e5_s42,fft,42.0,fft_full_lr3e5,full,0.0802,-1.0958256317158366,26.16,35.29,80.47,cs,33.33,19.0,45.86,42.92,35.36,0.9124,0.2904,3.0000000000000004e-05,,,,False,False,False,62.17,85.09,78.86,89.37,83.27,86.49,74.91,83.6,,,,,,,,,,,,,
qwsw_milora_r32_lr5e5_s42,qwsw,42.0,qwsw_milora_r32_lr5e5,milora,0.132,-0.8794260687941502,39.41,50.2,85.91,cs,46.91,31.91,70.7,52.39,49.11,6.139,1.6194,5e-05,,,32.0,False,False,True,62.48,90.21,79.89,94.93,83.9,95.33,88.91,91.6,,,,49.70660434021038,6.140256881713867,1.6198139484439578,7.275242817610521,24.441347219102788,0.0469494177689233,0.47409897634961806,0.06479852071672627,0.2769086363451375,0.042821489889328254
valfix_milora_r16,valfix,,valfix_milora_r16,milora,0.0384,-1.4156687756324693,27.02,,17.56,,33.4,20.64,,,,0.6691,0.2935,,,,,False,False,False,64.0,38.0,17.0,0.0,0.0,5.5,7.5,8.5,1.9062925036322809,1.8520239240816387,0.054268579550642126,6.105193059407668,0.6693050265312195,0.29365542680025103,2.744581774322758,9.043215240639634,0.05096811855919933,0.34178179687074667,0.08090121379779999,0.3380185148696,0.05254684821291115
frc_lorawd_wd0_lr2e4_c256_s42,frc,42.0,frc_lorawd_wd0_lr2e4_c256,lorawd,0.5052,-0.2965366581167069,24.36,33.67,80.04,cs,31.87,16.84,43.93,38.91,36.78,40.9931,13.7847,0.0002,0.0,,,False,False,True,71.28,82.32,78.81,90.11,83.82,83.8,69.8,80.4,2.236917664131768,1.8520239240816387,0.3848937400501291,388.9898789123984,41.0294075012207,13.790997511148452,5.0853578125911945,17.304564956693294,0.0680157593267268,0.047019238712811315,0.0747387197826746,0.04933369751558672,0.06645480832714797
calib_clora_k2048_fastret,calib,,calib_clora_k2048_fastret,clora,0.3376,-0.47159756204638253,26.76,,65.43,,36.11,17.41,,,,16.4119,8.2798,,,2048.0,,False,False,False,71.8,83.19,12.28,37.78,81.45,84.6,69.71,82.6,,,,,,,,,,,,,
frc_lorawd_wd0_lr2e4_c256_s43,frc,43.0,frc_lorawd_wd0_lr2e4_c256,lorawd,0.5124,-0.2903908789273513,24.51,33.23,32.86,cs,31.78,17.24,41.93,38.65,36.55,37.9996,13.7631,0.0002,0.0,,,False,False,True,62.08,14.85,6.86,39.02,25.34,40.82,39.33,34.6,2.1931588730544975,1.8100692116929957,0.3830896613615018,390.8516373301031,38.040428161621094,13.769005206227302,5.136229549010936,17.315695562376156,0.06849068601658724,0.0467209333281534,0.07487006007093619,0.04940202761025682,0.06657358642945108
lrsw_dora_r16_lr2e5_s42,lrsw,42.0,lrsw_dora_r16_lr2e5,dora,0.2302,-0.637894680706227,26.45,36.48,30.62,cs,33.71,19.19,45.53,46.67,37.32,4.9812,1.9715,2e-05,,,16.0,False,False,True,3.15,8.27,35.16,40.05,39.78,44.91,38.23,35.4,2.1228977261161632,1.8520239240816387,0.2708738020345245,30.984706071142693,4.990794658660889,1.9733688186854124,1.2628251682634095,2.2445269566174044,0.06293061219939187,0.048917304975319396,0.1344192714728413,0.0610422433308599,0.08104002729414393
mtx_lora_r64_s43,mtx,43.0,mtx_lora_r64,lora,0.9304,-0.031330298279608,19.26,26.66,76.52,cs,27.31,11.2,25.95,35.49,33.37,103.5063,18.2092,,,,64.0,False,False,False,68.35,79.27,79.58,80.2,80.66,78.49,64.85,80.8,2.820213091164481,1.8520239240816387,0.9681891670828424,763.2424196037404,103.50831604003906,18.21078453361988,12.38857448340294,39.343234391064804,0.07259804473017493,0.04594528650999536,0.07028011536124971,0.05040777098045096,0.06763687516110582
lrswm_sclora_r32_lr2e5_s42,lrswm,42.0,lrswm_sclora_r32_lr2e5,sclora,0.2851,-0.5450027826905399,23.94,33.22,41.77,gsm8k,32.67,15.22,29.43,46.76,42.03,8.9996,1.7383,2e-05,,,32.0,False,False,True,,,,,,,,,2.0687628109568204,1.8520239240816387,0.2167388868751816,57.229406747669195,9.00782585144043,1.7386825565248727,7.102672268012344,28.162921939550895,0.11330826033791239,0.03853119220041136,0.759112907229178,0.0045274795612517075,0.2365978074155671
mtxm_lorawd_wd0p3_s42,mtxm,42.0,mtxm_lorawd_wd0p3,lorawd,0.3331,-0.4774253673088232,25.38,34.0,50.19,gsm8k,32.88,17.89,34.8,42.06,42.36,17.0217,6.9166,,0.3,,,False,False,False,,,,,,,,,2.1332697629826973,1.8520239240816387,0.2812458389010586,225.59792569774785,17.03029441833496,6.918161834776401,6.505293461741062,19.24264778196339,0.06783802757106369,0.04917095102745738,0.07996615294743704,0.04949929963088116,0.06772733797516622
